Company Name,Date,Net sales,Total expenses,Net Profit/(Loss) for the period from continuing operations (after tax),PBT,PBDIT,PAT as % of net sales,Sector
3M India Ltd.,2015-03-31,4774.4,4422.8,416.3,636.4,771.5,8.72,Diversified
A B B India Ltd.,2015-03-31,18145.7,17638.1,542.9,812.9,1443.2,2.99,Infrastructure
A C C Ltd.,2015-03-31,30801.3,29720.1,2405.5,3218.0,5142.6,7.81,Cement
A P L Apollo Tubes Ltd.,2015-03-31,5122.0,4845.4,22.1,58.0,229.3,0.43,Steel
Aarti Drugs Ltd.,2015-03-31,2783.7,2381.2,188.6,250.6,429.1,6.78,Pharmaceuticals
Aarti Industries Ltd.,2015-03-31,6774.8,6074.2,527.6,695.1,1223.7,7.79,Chemicals
Abbott India Ltd.,2015-03-31,6007.1,5316.4,497.6,776.0,814.4,8.28,Pharmaceuticals
Adani Enterprises Ltd.,2015-03-31,33127.5,33207.6,728.0,828.8,4158.1,2.2,Trading
Aegis Logistics Ltd.,2015-03-31,874.2,804.0,119.4,198.5,253.4,13.66,Transport
Ajanta Pharma Ltd.,2015-03-31,3688.4,2728.4,843.1,1229.7,1366.1,22.86,Pharmaceuticals
Akzo Nobel India Ltd.,2015-03-31,5921.6,5884.9,446.4,612.6,751.2,7.54,Paints
Alkyl Amines Chemicals Ltd.,2015-03-31,1176.8,1071.5,119.7,171.1,222.8,10.17,Chemicals
Alok Industries Ltd.,2015-03-31,34565.4,45939.0,51.2,374.7,8627.9,0.15,Textiles
Amara Raja Batteries Ltd.,2015-03-31,10667.0,9532.3,1022.6,1493.1,1870.2,9.59,Auto
Ambuja Cements Ltd.,2015-03-31,24630.4,22394.7,3176.9,4259.3,6050.5,12.9,Cement
Apollo Hospitals Enterprise Ltd.,2015-03-31,12036.9,11245.9,773.3,1166.4,1798.3,6.42,Hospitals
Apollo Tyres Ltd.,2015-03-31,22664.2,19686.5,1824.2,2727.7,3614.7,8.05,Tyres
Asahi India Glass Ltd.,2015-03-31,5196.6,4833.3,223.7,277.6,1017.3,4.3,Glass
Ashok Leyland Ltd.,2015-03-31,45057.0,45209.8,2299.7,2880.1,4863.0,5.1,Auto
Asian Paints Ltd.,2015-03-31,28869.7,25837.0,3398.2,4976.4,5617.5,11.77,Paints
Astrazeneca Pharma India Ltd.,2015-03-31,1685.5,1066.4,381.3,381.3,421.5,22.62,Pharmaceuticals
Atul Ltd.,2015-03-31,6190.4,5509.0,448.6,623.9,820.8,7.25,Chemicals
Aurobindo Pharma Ltd.,2015-03-31,20384.1,18114.9,3370.1,4278.6,5067.3,16.53,Pharmaceuticals
Avanti Feeds Ltd.,2015-03-31,3814.5,3636.8,222.7,356.6,383.9,5.84,Aquaculture
Axis Bank Ltd.,2015-03-31,96970.8,102038.0,21805.9,33030.6,92009.0,22.49,Banks
B A S F India Ltd.,2015-03-31,10723.3,11217.2,-593.3,-593.3,134.3,-5.53,Chemicals
Bajaj Electricals Ltd.,2015-03-31,13160.8,12304.5,468.9,526.9,859.7,3.56,Domestic
Bajaj Finance Ltd.,2015-03-31,14294.3,12140.7,2309.8,3445.5,9659.0,16.16,Finance
Bajaj Holdings & Invst. Ltd.,2015-03-31,813.7,403.7,417.6,558.5,571.8,51.32,Finance
Balkrishna Industries Ltd.,2015-03-31,8934.7,8632.3,1543.0,2323.2,2977.6,17.27,Tyres
Balrampur Chini Mills Ltd.,2015-03-31,6583.2,15272.7,758.2,758.2,1303.9,11.52,Sugar
Bank Of Baroda,2015-03-31,107619.3,114590.4,5983.5,8760.3,84662.9,5.56,Banks
Bank Of India,2015-03-31,111648.3,131159.2,-561.4,-561.4,82624.0,-0.5,Banks
Bata India Ltd.,2015-03-31,4913.2,5426.9,584.4,729.0,893.9,11.89,Leather
Bayer Cropscience Ltd.,2015-03-31,5696.0,5593.0,434.0,643.0,726.0,7.62,Chemicals
Berger Paints India Ltd.,2015-03-31,9268.0,8566.9,706.8,1034.8,1311.8,7.63,Paints
Bharat Electronics Ltd.,2015-03-31,29281.6,22419.3,7228.7,8874.0,9311.6,24.69,Electric
Bharat Forge Ltd.,2015-03-31,12238.9,10057.0,2031.8,3080.9,3802.2,16.6,Castings
Bharat Heavy Electricals Ltd.,2015-03-31,127451.9,109139.5,8883.5,13232.7,16319.3,6.97,Infrastructure
Bharat Petroleum Corpn. Ltd.,2015-03-31,513461.2,482518.2,28528.9,42399.2,50780.5,5.56,Refineries
Birla Corporation Ltd.,2015-03-31,7971.5,8075.8,284.6,403.0,969.3,3.57,Cement
Birlasoft Ltd.,2015-03-31,3212.5,3025.9,546.6,546.6,846.0,17.01,Computers
Blue Dart Express Ltd.,2015-03-31,5710.1,5414.7,347.4,525.0,731.0,6.08,Couriers
Blue Star Ltd.,2015-03-31,10053.7,10800.3,1061.7,1061.7,1279.8,10.56,Consumer
Bombay Burmah Trdg. Corpn. Ltd.,2015-03-31,801.2,945.9,108.1,138.1,235.6,13.49,Plantations
Borosil Renewables Ltd.,2015-03-31,559.6,656.2,142.1,171.9,185.1,25.39,Glass
Bosch Ltd.,2015-03-31,23888.6,23216.7,2874.5,4597.4,6169.2,12.03,Auto
Brightcom Group Ltd.,2015-03-31,1221.8,1306.4,16.4,16.4,67.5,1.34,Computers
Britannia Industries Ltd.,2015-03-31,18720.2,17212.3,1410.4,2038.5,2462.1,7.53,Food
C C L Products (India) Ltd.,2015-03-31,1728.0,1529.1,180.3,288.4,325.6,10.43,Plantations
C E S C Ltd.,2015-03-31,14160.0,12044.9,2440.0,2920.0,5020.0,17.23,Power
Can Fin Homes Ltd.,2015-03-31,2270.6,2041.7,228.9,393.0,2079.4,10.08,Finance
Caplin Point Laboratories Ltd.,2015-03-31,581.8,510.2,106.0,135.6,154.7,18.22,Pharmaceuticals
Capri Global Capital Ltd.,2015-03-31,503.2,323.8,190.4,325.1,353.9,37.84,Finance
Carborundum Universal Ltd.,2015-03-31,2991.5,3165.9,957.3,1240.2,1432.3,32.0,Abrasives
Castrol India Ltd.,2015-03-31,7992.0,7131.0,1467.0,2228.0,2342.0,18.36,Lubricants
Ceat Ltd.,2015-03-31,14253.3,13258.6,894.4,1287.2,1784.6,6.28,Tyres
Century Plyboards (India) Ltd.,2015-03-31,4092.2,3715.6,479.7,593.2,802.0,11.72,Miscellaneous
Century Textiles & Inds. Ltd.,2015-03-31,20940.4,21302.2,118.1,172.2,2128.8,0.56,Diversified
Chambal Fertilisers & Chemicals Ltd.,2015-03-31,15531.1,13958.0,-1035.7,-960.1,-241.8,-6.67,Fertilisers
Cholamandalam Financial Holdings Ltd.,2015-03-31,9034.1,9296.7,770.4,932.0,1537.2,8.53,Miscellaneous
Cholamandalam Investment & Finance Co. Ltd.,2015-03-31,9377.7,8023.5,1356.4,2033.8,6976.1,14.46,Finance
Cipla Ltd.,2015-03-31,27014.6,27342.3,2139.0,2867.8,4339.6,7.92,Pharmaceuticals
City Union Bank Ltd.,2015-03-31,6881.8,7054.6,990.8,1315.8,6150.9,14.4,Banks
Colgate-Palmolive (India) Ltd.,2015-03-31,10285.1,8721.9,1636.3,2341.5,2546.1,15.91,Personal
Container Corpn. Of India Ltd.,2015-03-31,15089.8,13153.4,2927.1,3479.3,4289.5,19.4,Transport
Coromandel International Ltd.,2015-03-31,29847.7,29113.7,686.4,1021.1,1726.6,2.3,Fertilisers
Crisil Ltd.,2015-03-31,2226.1,1816.9,456.1,666.4,752.2,20.49,Miscellaneous
Cummins India Ltd.,2015-03-31,11335.1,10575.6,1904.4,2219.7,2413.0,16.8,Engines
Cyient Ltd.,2015-03-31,3280.6,2797.4,724.8,875.7,1032.2,22.09,Computers
D C M Shriram Ltd.,2015-03-31,12566.5,16565.0,-351.0,-351.0,167.4,-2.79,Diversified
D L F Ltd.,2015-03-31,8178.6,8136.6,4893.4,5807.0,9182.8,59.83,Construction
Dabur India Ltd.,2015-03-31,13905.1,12186.0,2129.4,2720.2,2919.7,15.31,Personal
Deepak Fertilisers & Petrochemicals Corpn. Ltd.,2015-03-31,9309.5,7727.7,272.3,379.4,925.7,2.92,Fertilisers
Deepak Nitrite Ltd.,2015-03-31,3324.8,2880.3,152.3,202.5,375.4,4.58,Chemicals
Dhanuka Agritech Ltd.,2015-03-31,1530.4,1346.9,219.0,251.4,278.1,14.31,Chemicals
Dr. Reddy'S Laboratories Ltd.,2015-03-31,26887.0,20745.0,5714.0,6878.0,8434.0,21.25,Pharmaceuticals
E I D-Parry (India) Ltd.,2015-03-31,4209.2,8369.7,1582.3,1582.3,2167.0,37.59,Sugar
E I H Ltd.,2015-03-31,3946.3,3534.2,479.1,772.4,1127.3,12.14,Hotels
E P L Ltd.,2015-03-31,1836.6,1695.2,151.3,198.6,412.0,8.24,Packaging
Eicher Motors Ltd.,2015-03-31,9611.6,8377.7,2134.5,2964.7,3161.1,22.21,Auto
Elgi Equipments Ltd.,2015-03-31,2196.0,2037.2,127.5,168.6,271.6,5.81,Compressors
Emami Ltd.,2015-03-31,4957.4,3802.9,1323.4,1462.9,1571.8,26.7,Personal
Engineers India Ltd.,2015-03-31,4885.4,4595.8,1088.7,1672.5,1728.5,22.28,Infrastructure
Esab India Ltd.,2015-03-31,1065.9,1161.1,-13.8,-13.8,11.6,-1.29,Electrodes
